iter	Passed	Remaining
0	0	87
1	1	79
2	2	77
3	2	71
4	3	69
5	4	69
6	5	68
7	5	67
8	6	66
9	7	65
10	8	65
11	8	64
12	9	63
13	10	62
14	11	62
15	11	61
16	12	61
17	13	60
18	14	59
19	14	59
20	15	58
21	16	57
22	17	57
23	18	57
24	18	56
25	19	55
26	20	54
27	21	54
28	21	53
29	22	52
30	23	52
31	24	51
32	24	50
33	25	49
34	26	49
35	27	48
36	27	47
37	28	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	53	22
70	53	21
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	62	13
82	62	12
83	63	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	74	0
99	75	0
